Date,Check,Description,Debit,Credit,Cards,Purchase Type
3/19/2024,3679,Check,2160,0,nan,Contract Labor
3/19/2024,3680,Check,4455,0,nan,Contract Labor
3/16/2024,3681,Check,1554,0,nan,Contract Labor
3/19/2024,3682,Check,4225,0,nan,Contract Labor
3/19/2024,3683,Check,6470,0,nan,Contract Labor
3/18/2024,3684,Check,250,0,nan,Contract Labor
3/18/2024,3685,Check,2155.95,0,nan,Contract Labor
3/16/2024,3686,Check,2339.9,0,nan,Contract Labor
3/16/2024,3687,Check,1080,0,nan,Contract Labor
3/18/2024,3688,Check,400,0,nan,Contract Labor
3/19/2024,3689,Check,2949,0,nan,Contract Labor
3/19/2024,3690,Check,1700,0,nan,Contract Labor
3/19/2024,3691,Check,1259.77,0,nan,Contract Labor
3/19/2024,3692,Check,1970,0,nan,Contract Labor
3/19/2024,3693,Check,500,0,nan,Contract Labor
3/16/2024,3694,Check,2195,0,nan,Contract Labor
3/21/2024,3695,Check,500,0,nan,Contract Labor
3/19/2024,3696,Check,300,0,nan,Contract Labor
3/26/2024,3697,Check,757.08,0,nan,Contract Labor
4/2/2024,3698,Check,2000,0,nan,Contract Labor
4/4/2024,3699,Check,4015.5,0,nan,Contract Labor
4/2/2024,3700,Check,1472,0,nan,Contract Labor
4/2/2024,3701,Check,6470,0,nan,Contract Labor
4/1/2024,3703,Check,250,0,nan,Contract Labor
4/1/2024,3704,Check,2235.95,0,nan,Contract Labor
3/29/2024,3705,Check,2439.9,0,nan,Contract Labor
4/5/2024,3706,Check,100,0,nan,Contract Labor
4/1/2024,3707,Check,1320,0,nan,Contract Labor
4/10/2024,3708,Check,2337,0,nan,Contract Labor
4/2/2024,3709,Check,2260,0,nan,Contract Labor
4/1/2024,3712,Check,500,0,nan,Contract Labor
3/29/2024,3713,Check,2195,0,nan,Contract Labor
4/8/2024,3715,Check,500,0,nan,Contract Labor
4/15/2024,3716,Check,2500,0,nan,Contract Labor
4/16/2024,3717,Check,1300,0,nan,Contract Labor
4/15/2024,3718,Check,1422,0,nan,Contract Labor
4/18/2024,3719,Check,4225,0,nan,Contract Labor
4/16/2024,3721,Check,250,0,nan,Contract Labor
4/16/2024,3722,Check,2261.58,0,nan,Contract Labor
4/16/2024,3724,Check,1200,0,nan,Contract Labor
4/15/2024,3725,Check,1250,0,nan,Contract Labor
4/17/2024,3726,Check,2145,0,nan,Contract Labor
4/30/2024,3727,Check,2100,0,nan,Contract Labor
4/17/2024,3728,Check,976.02,0,nan,Contract Labor
4/18/2024,3729,Check,1970,0,nan,Contract Labor
4/23/2024,3730,Check,500,0,nan,Contract Labor
4/15/2024,3731,Check,2195,0,nan,Contract Labor
4/18/2024,3732,Check,6530,0,nan,Contract Labor
4/16/2024,3733,Check,2890.5,0,nan,Contract Labor
4/18/2024,3734,Check,4224.5,0,nan,Contract Labor
4/30/2024,3735,Check,300,0,nan,Contract Labor
4/19/2024,3736,Check,1344,0,nan,Contract Labor
5/1/2024,3737,Check,800,0,nan,Contract Labor
5/2/2024,3738,Check,1300,0,nan,Contract Labor
5/2/2024,3739,Check,250,0,nan,Contract Labor
5/2/2024,3740,Check,4108.88,0,nan,Contract Labor
5/1/2024,3741,Check,2299.92,0,nan,Contract Labor
5/2/2024,3742,Check,1572,0,nan,Contract Labor
5/3/2024,3744,Check,7170,0,nan,Contract Labor
5/6/2024,3745,Check,4225,0,nan,Contract Labor
5/2/2024,3746,Check,250,0,nan,Contract Labor
5/9/2024,3747,Check,510,0,nan,Contract Labor
5/2/2024,3748,Check,500,0,nan,Contract Labor
5/1/2024,3749,Check,2093.07,0,nan,Contract Labor
5/1/2024,3750,Check,850,0,nan,Contract Labor
5/2/2024,3751,Check,2261.58,0,nan,Contract Labor
5/6/2024,3752,Check,2337,0,nan,Contract Labor
5/7/2024,3753,Check,450,0,nan,Contract Labor
5/2/2024,3754,Check,1320,0,nan,Contract Labor
5/3/2024,3755,Check,2260,0,nan,Contract Labor
5/3/2024,3756,Check,2730,0,nan,Contract Labor
5/1/2024,3757,Check,2195,0,nan,Contract Labor
5/2/2024,3758,Check,2900,0,nan,Contract Labor
