Date,Description,Debit,Credit,Cards,Purchase Type
1/18/2024,Check,1565.53,0,0,Labor
1/18/2024,Check,1700,0,0,Labor
1/17/2024,Check,1905,0,0,Labor
1/17/2024,Check,1599.15,0,0,Labor
1/17/2024,Check,1442,0,0,Labor
1/16/2024,Check,1083.75,0,0,Labor
1/16/2024,Check,250,0,0,Labor
1/16/2024,Check,2195,0,0,Labor
1/16/2024,Check,1080,0,0,Labor
1/16/2024,Check,2800,0,0,Labor
1/12/2024,Check,2796.38,0,0,Labor
1/9/2024,Check,525,0,0,Labor
1/3/2024,Check,500,0,0,Labor
1/3/2024,Check,500,0,0,Labor
1/3/2024,Check,3124.05,0,0,Labor
1/3/2024,Check,1563.85,0,0,Labor
1/3/2024,Check,4225,0,0,Labor
1/3/2024,Check,6600,0,0,Labor
1/3/2024,Check,1502.13,0,0,Labor
1/3/2024,Check,4491.4,0,0,Labor
1/3/2024,Check,1300,0,0,Labor
1/3/2024,Check,150,0,0,Labor
1/2/2024,Check,1820,0,0,Labor
1/2/2024,Check,2073,0,0,Labor
1/2/2024,Check,1549.15,0,0,Labor
1/2/2024,Check,1158.75,0,0,Labor
1/2/2024,Check,250,0,0,Labor
1/2/2024,Check,300,0,0,Labor
1/2/2024,Check,1200,0,0,Labor
4/6/2024,Check,1689.67,0,0,Labor
4/2/2024,Check,1171.63,0,0,Labor
4/1/2024,Check,2345.76,0,0,Labor
3/19/2024,Check,369.4,0,0,Labor
3/19/2024,Check,1689.67,0,0,Labor
3/19/2024,Check,1689.67,0,0,Labor
3/19/2024,Check,1689.67,0,0,Labor
3/18/2024,Check,1171.63,0,0,Labor
3/16/2024,Check,2309.76,0,0,Labor
3/5/2024,Check,1689.67,0,0,Labor
3/4/2024,Check,369.4,0,0,Labor
3/1/2024,Check,2626.33,0,0,Labor
3/1/2024,Check,1171.63,0,0,Labor
2/29/2024,Check,1689.67,0,0,Labor
2/20/2024,Check,1689.67,0,0,Labor
2/20/2024,Check,277.05,0,0,Labor
2/20/2024,Check,1171.64,0,0,Labor
2/16/2024,Check,369.4,0,0,Labor
2/15/2024,Check,1689.67,0,0,Labor
2/15/2024,Check,2309.76,0,0,Labor
2/15/2024,Check,1689.67,0,0,Labor
2/6/2024,Check,277.05,0,0,Labor
2/2/2024,Check,369.4,0,0,Labor
2/2/2024,Check,1171.63,0,0,Labor
2/1/2024,Check,2352.27,0,0,Labor
1/31/2024,Check,1689.67,0,0,Labor
1/31/2024,Check,1689.67,0,0,Labor
1/31/2024,Check,1689.67,0,0,Labor
1/23/2024,Check,1689.67,0,0,Labor
1/18/2024,Check,1171.63,0,0,Labor
1/18/2024,Check,1689.67,0,0,Labor
1/16/2024,Check,369.4,0,0,Labor
1/12/2024,Check,1689.67,0,0,Labor
1/5/2024,Check,277.05,0,0,Labor
1/3/2024,Check,1165.38,0,0,Labor
1/2/2024,Check,369.4,0,0,Labor
3/13/2024,Cheveron,85.8,0,2591,Gas
3/12/2024,Cheveron,75.67,0,2591,Gas
3/5/2024,Cheveron,86.82,0,2591,Gas
2/27/2024,Cheveron,68.25,0,2591,Gas
2/16/2024,Cheveron,64.51,0,2591,Gas
1/14/2024,Cheveron,58.22,0,2994,Gas
1/5/2024,Cheveron,4.53,0,0940,Gas
3/13/2024,Citi,434.51,0,0,Credit Card
2/13/2024,Citi,399.66,0,0,Credit Card
1/16/2024,Citi,411.34,0,0,Credit Card
4/2/2024,Citizens,66.67,0,0,Loan
3/4/2024,Citizens,66.67,0,0,Loan
2/2/2024,Citizens,66.67,0,0,Loan
1/2/2024,Citizens,66.67,0,0,Loan
3/23/2024,City of Cedar Park,287.3,0,2994,Utilities
2/23/2024,City of Cedar Park,189.72,0,2994,Utilities
1/23/2024,City of Cedar Park,184.74,0,2994,Utilities
2/28/2024,Clinical Pathology Lab,34,0,2994,Medical
3/6/2024,Crate & Barrel,129,0,0,Credit Card
2/7/2024,Crate & Barrel,130,0,0,Credit Card
1/8/2024,Crate & Barrel,134,0,0,Credit Card
3/11/2024,Credit Card Fee,10,0,0,Fee
1/8/2024,Credit Card Fee,10,0,0,Fee
3/14/2024,Cricket,130,0,2591,Phone/Internet
2/14/2024,Cricket,130,0,2591,Phone/Internet
1/15/2024,Cricket,103,0,2591,Phone/Internet
1/15/2024,Cricket,48.14,0,2591,Phone/Internet
2/22/2024,CSC Servicework,2,0,2591,Professional Service
4/5/2024,Deposit,0,5026.67,0,Revenue
4/4/2024,Deposit,0,920.13,0,Revenue
4/4/2024,Deposit,0,18481.53,0,Revenue
4/3/2024,Deposit,0,2682.72,0,Revenue
4/2/2024,Deposit,0,11977.1,0,Revenue
4/2/2024,Deposit,0,811.88,0,Revenue
4/1/2024,Deposit,0,1857.58,0,Revenue
4/1/2024,Deposit,0,3000,0,Revenue
3/28/2024,Deposit,0,1300,0,Revenue
3/22/2024,Deposit,0,3242.09,0,Revenue
3/21/2024,Deposit,0,7342.82,0,Revenue
3/20/2024,Deposit,0,3509.5,0,Revenue
3/19/2024,Deposit,0,62401.49,0,Revenue
3/18/2024,Deposit,0,4220.11,0,Revenue
3/18/2024,Deposit,0,5000,0,Revenue
3/15/2024,Deposit,0,6000,0,Revenue
3/13/2024,Deposit,0,659.68,0,Revenue
3/13/2024,Deposit,0,3000,0,Revenue
3/13/2024,Deposit,0,2069.58,0,Revenue
3/11/2024,Deposit,0,3294.13,0,Revenue
3/8/2024,Deposit,0,5491.03,0,Revenue
3/8/2024,Deposit,0,5026.67,0,Revenue
3/7/2024,Deposit,0,1461.37,0,Revenue
3/6/2024,Deposit,0,497.95,0,Revenue
3/4/2024,Deposit,0,20989.93,0,Revenue
3/4/2024,Deposit,0,0.2,0,Revenue
3/4/2024,Deposit,0,0.1,0,Revenue
3/2/2024,Deposit,0,2621.83,0,Revenue
3/1/2024,Deposit,0,11977.1,0,Revenue
2/29/2024,Deposit,0,3279.26,0,Revenue
2/28/2024,Deposit,0,1271.94,0,Revenue
2/27/2024,Deposit,0,1300,0,Revenue
2/23/2024,Deposit,0,5124.51,0,Revenue
2/23/2024,Deposit,0,10519.74,0,Revenue
2/23/2024,Deposit,0,3897,0,Revenue
2/20/2024,Deposit,0,1619.82,0,Revenue
2/20/2024,Deposit,0,189.44,0,Revenue
2/20/2024,Deposit,0,55336.2,0,Revenue
2/17/2024,Deposit,0,1319.69,0,Revenue
2/15/2024,Deposit,0,6165.58,0,Revenue
2/14/2024,Deposit,0,833.46,0,Revenue
2/14/2024,Deposit,0,18837.49,0,Revenue
2/13/2024,Deposit,0,4139.16,0,Revenue
2/9/2024,Deposit,0,4640,0,Revenue
2/9/2024,Deposit,0,6603.25,0,Revenue
2/9/2024,Deposit,0,3506.13,0,Revenue
2/9/2024,Deposit,0,415.68,0,Revenue
